mag_r,u-g,g-r,r-i,i-z,z_spec
16.880863,2.028433,1.364206,0.490334,0.32258,0.201317
18.57246,1.771267,1.484625,0.613194,0.349377,0.292852
18.277147,1.529879,1.698538,0.583351,0.324654,0.341498
18.799379,1.978798,1.824499,0.630035,0.387877,0.339491
17.89447,1.722433,1.369192,0.544325,0.325766,0.239668
18.876858,1.096821,1.665884,0.582615,0.400705,0.398057
19.335855,1.04196,1.757591,0.613522,0.405214,0.394666
17.740036,1.526451,1.376366,0.533426,0.28772,0.259371
17.330992,2.108496,1.296755,0.460676,0.342388,0.203517
19.12137,1.730644,1.844196,0.630291,0.376781,0.3804
18.474798,1.74091,1.525242,0.578772,0.339647,0.299787
18.707312,1.931152,1.666962,0.567081,0.412527,0.352685
18.154713,1.362308,1.867586,0.588757,0.355293,0.34059
18.781948,1.71739,1.766251,0.618307,0.398907,0.390877
18.62155,2.029345,1.775373,0.603086,0.263514,0.356965
18.376558,1.839876,1.866163,0.664679,0.35783,0.396151
19.264023,1.46129,1.843731,0.630661,0.286457,0.422571
18.975119,1.815014,1.855196,0.582764,0.380833,0.388807
18.868805,1.878025,1.75408,0.690025,0.37871,0.390871
17.485807,1.875275,1.322414,0.48737,0.350708,0.210633
16.62265,1.98518,1.262434,0.468637,0.348353,0.182297
19.09206,1.95903,1.362227,0.541796,0.283649,0.225851
18.329943,1.629221,1.63472,0.557003,0.410749,0.316795
19.428997,1.957165,1.793352,0.719345,0.426447,0.457542
19.779243,1.785524,1.736568,0.789383,0.32864,0.495966
20.295422,1.358128,1.529907,0.770832,0.421764,0.516989
17.412048,1.702663,1.304663,0.561157,0.336924,0.248062
20.252737,1.550356,1.325209,0.749216,0.308929,0.505222
17.634535,1.67725,1.350239,0.483505,0.311863,0.241066
18.773966,1.947952,1.677439,0.725708,0.38624,0.428431
19.380989,2.005516,1.852083,0.625795,0.370125,0.416151
18.898376,1.840323,1.78034,0.614437,0.356108,0.369968
18.644556,1.6702,1.586083,0.660593,0.427616,0.27705
18.764744,1.365021,1.661573,0.592482,0.395594,0.378475
19.136349,1.349718,1.773178,0.658735,0.399645,0.453809
19.331881,1.802435,1.690794,0.756895,0.340855,0.424606
18.778835,1.474255,1.698553,0.622831,0.416483,0.36537
17.632278,1.667431,1.466309,0.498228,0.340145,0.236071
18.435579,1.575796,1.608288,0.498135,0.375631,0.308599
17.723614,2.05777,1.390356,0.513613,0.33709,0.247127
17.656485,2.003069,1.312601,0.481054,0.322981,0.204938
18.978907,2.039915,1.713264,0.583958,0.269222,0.383145
18.621836,2.157267,1.694923,0.559507,0.364632,0.384161
19.742126,1.802883,1.787006,0.632046,0.342138,0.358601
19.467937,1.479488,1.845695,0.623867,0.270638,0.363131
