mag_r,u-g,g-r,r-i,i-z,z_spec
18.622263,2.154955,1.73913,0.579798,0.326042,0.357196
18.394003,1.817806,1.729649,0.589487,0.36647,0.327634
18.833834,1.604752,1.615393,0.576075,0.272255,0.327583
18.966595,1.948145,1.731062,0.556818,0.284946,0.319221
18.030312,1.13452,1.402264,0.502014,0.384615,0.249907
17.761961,1.385098,1.38604,0.495611,0.348623,0.268611
19.319063,2.06521,1.718245,0.654757,0.256823,0.356208
18.232237,1.737131,1.704616,0.584902,0.355545,0.355632
18.520599,1.936821,1.790941,0.569979,0.337059,0.335252
18.164408,1.655592,1.585405,0.5541,0.384619,0.28484
17.967131,1.624498,1.531082,0.538918,0.387192,0.306368
19.230814,1.874706,1.826263,0.630705,0.361752,0.353987
18.496405,1.806669,1.655645,0.616772,0.370203,0.356053
19.201925,1.174748,1.702063,0.73172,0.405809,0.439917
17.839218,2.111088,1.361847,0.500189,0.401802,0.212721
19.597895,1.45385,1.955101,0.757523,0.392473,0.402798
18.247021,2.052378,1.614265,0.577669,0.313093,0.287862
17.498354,1.611343,1.31686,0.511095,0.316574,0.218417
19.081785,1.858328,1.861858,0.562548,0.411341,0.335929
19.03039,1.818855,1.632688,0.607483,0.420881,0.370112
18.278692,2.075838,1.768541,0.612249,0.320366,0.347739
19.211042,1.680975,1.798784,0.707964,0.415142,0.409962
19.206291,1.503088,1.82391,0.601151,0.353899,0.377566
20.081245,1.875988,1.765102,0.796453,0.217588,0.452121
19.164068,1.499151,1.73802,0.626837,0.353998,0.347828
19.171028,1.324358,1.70253,0.586071,0.317057,0.419058
17.291683,2.002695,1.324146,0.489922,0.334232,0.215337
17.486349,1.930582,1.321497,0.50354,0.361589,0.213775
17.324551,1.702337,1.382193,0.483198,0.370909,0.230098
17.532272,2.15633,1.297834,0.47707,0.285624,0.229911
17.508175,1.691791,1.247154,0.47904,0.329456,0.20315
18.54896,1.617363,1.8008,0.556284,0.315008,0.334391
18.413298,1.713919,1.669434,0.59388,0.262991,0.334285
17.862835,1.560677,1.478468,0.527615,0.366121,0.260598
19.049812,1.583347,1.805389,0.568422,0.32522,0.347667
17.689207,1.903805,1.368772,0.49926,0.370039,0.226501
18.40115,1.391828,1.530699,0.567009,0.329063,0.31348
18.250156,1.393644,1.595158,0.570139,0.346981,0.311331
19.35944,2.1926,1.751015,0.723906,0.333401,0.352854
18.310993,1.42354,1.65803,0.616671,0.3403,0.368217
18.449297,1.521902,1.79109,0.633156,0.407793,0.366043
17.263023,2.103331,1.719974,0.583254,0.363409,0.336215
17.223148,1.947794,1.234827,0.436581,0.314713,0.195705
16.990368,1.840048,1.239826,0.464546,0.354605,0.180089
19.989679,1.077644,1.572821,0.757147,0.229929,0.420416
18.902355,1.693985,1.795897,0.668991,0.394592,0.382637
19.336805,1.233578,1.884827,0.644678,0.232504,0.384564
